"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"1","Justin Jefferson","MIN","13","WR1","1","1","1","1.0"
"2","Christian McCaffrey","SF","9","RB1","2","2","2","2.0"
"3","Ja'Marr Chase","CIN","7","WR2","3","3","3","3.0"
"4","Austin Ekeler","LAC","5","RB2","4","4","4","4.0"
"5","Travis Kelce","KC","10","TE1","5","5","6","5.3"
"6","Tyreek Hill","MIA","10","WR3","6","6","5","5.7"
"7","Cooper Kupp","LAR","10","WR4","7","8","7","7.3"
"8","Bijan Robinson","ATL","11","RB3","9","7","9","8.3"
"9","Saquon Barkley","NYG","13","RB4","11","9","8","9.3"
"10","Nick Chubb","CLE","5","RB5","8","11","10","9.7"
"11","Stefon Diggs","BUF","13","WR5","10","10","11","10.3"
"12","CeeDee Lamb","DAL","7","WR6","14","15","12","13.7"
"13","A.J. Brown","PHI","10","WR7","16","12","14","14.0"
"14","Patrick Mahomes II","KC","10","QB1","13","14","18","15.0"
"15","Derrick Henry","TEN","7","RB6","12","13","21","15.3"
"16","Tony Pollard","DAL","7","RB7","15","21","13","16.3"
"17","Josh Jacobs","LV","13","RB8","19","17","15","17.0"
"18","Davante Adams","LV","13","WR8","18","16","20","18.0"
"19","Amon-Ra St. Brown","DET","9","WR9","20","18","19","19.0"
"20","Garrett Wilson","NYJ","7","WR10","21","22","16","19.7"
"21","Josh Allen","BUF","13","QB2","23","19","17","19.7"
"22","Jonathan Taylor","IND","11","RB9","17","20","27","21.3"
"23","Jalen Hurts","PHI","10","QB3","22","24","22","22.7"
"24","Jaylen Waddle","MIA","10","WR11","24","23","23","23.3"
"25","Najee Harris","PIT","6","RB10","26","25","25","25.3"
"26","Chris Olave","NO","11","WR12","28","27","24","26.3"
"27","Travis Etienne Jr.","JAC","9","RB11","25","29","28","27.3"
"28","DeVonta Smith","PHI","10","WR13","27","31","26","28.0"
"29","Mark Andrews","BAL","13","TE2","31","26","30","29.0"
"30","Rhamondre Stevenson","NE","11","RB12","29","30","29","29.3"
"31","Tee Higgins","CIN","7","WR14","30","28","37","31.7"
"32","Joe Mixon","CIN","7","RB13","32","34","34","33.3"
"33","Jahmyr Gibbs","DET","9","RB14","36","33","32","33.7"
"34","Lamar Jackson","BAL","13","QB4","37","32","35","34.7"
"35","DK Metcalf","SEA","5","WR15","35","35","38","36.0"
"36","Calvin Ridley","JAC","9","WR16","39","39","31","36.3"
"37","Joe Burrow","CIN","7","QB5","41","37","33","37.0"
"38","Aaron Jones","GB","6","RB15","33","40","42","38.3"
"39","Deebo Samuel","SF","9","WR17","38","36","41","38.3"
"40","Kenneth Walker III","SEA","5","RB16","43","42","39","41.3"
"41","Amari Cooper","CLE","5","WR18","40","43","43","42.0"
"42","Breece Hall","NYJ","7","RB17","34","38","58","43.3"
"43","Dameon Pierce","HOU","7","RB18","46","48","36","43.3"
"44","Keenan Allen","LAC","5","WR19","48","41","44","44.3"
"45","Justin Herbert","LAC","5","QB6","50","44","40","44.7"
"46","T.J. Hockenson","MIN","13","TE3","42","47","46","45.0"
"47","Justin Fields","CHI","13","QB7","47","45","45","45.7"
"48","Miles Sanders","CAR","7","RB19","49","53","47","49.7"
"49","George Kittle","SF","9","TE4","44","46","60","50.0"
"50","J.K. Dobbins","BAL","13","RB20","45","51","54","50.0"
"51","DJ Moore","CHI","13","WR20","54","50","52","52.0"
"52","Terry McLaurin","WAS","14","WR21","58","52","51","53.7"
"53","Alexander Mattison","MIN","13","RB21","60","54","48","54.0"
"54","Trevor Lawrence","JAC","9","QB8","56","57","49","54.0"
"55","DeAndre Hopkins","TEN","7","WR22","59","49","59","55.7"
"56","Cam Akers","LAR","10","RB22","51","58","62","57.0"
"57","Darren Waller","NYG","13","TE5","61","59","53","57.7"
"58","James Conner","ARI","14","RB23","55","62","67","61.3"
"59","Drake London","ATL","11","WR23","62","56","68","62.0"
"60","Javonte Williams","DEN","9","RB24","68","70","50","62.7"
"61","Dallas Goedert","PHI","10","TE6","52","63","75","63.3"
"62","Kyle Pitts","ATL","11","TE7","57","61","73","63.7"
"63","Christian Watson","GB","6","WR24","77","60","56","64.3"
"64","Tyler Lockett","SEA","5","WR25","53","69","74","65.3"
"65","Brandon Aiyuk","SF","9","WR26","63","66","69","66.0"
"66","Jerry Jeudy","DEN","9","WR27","65","55","80","66.7"
"67","Dalvin Cook","NYJ","7","RB25","66","71","63","66.7"
"68","Chris Godwin","TB","5","WR28","69","65","66","66.7"
"69","Alvin Kamara","NO","11","RB26","75","67","65","69.0"
"70","Mike Williams","LAC","5","WR29","80","68","61","69.7"
"71","Rachaad White","TB","5","RB27","84","74","55","71.0"
"72","James Cook","BUF","13","RB28","76","80","57","71.0"
"73","Isiah Pacheco","KC","10","RB29","67","75","72","71.3"
"74","D'Andre Swift","PHI","10","RB30","81","64","70","71.7"
"75","Christian Kirk","JAC","9","WR30","87","72","64","74.3"
"76","David Montgomery","DET","9","RB31","72","79","77","76.0"
"77","Michael Pittman Jr.","IND","11","WR31","82","78","78","79.3"
"78","George Pickens","PIT","6","WR32","93","76","71","80.0"
"79","Mike Evans","TB","5","WR33","85","73","82","80.0"
"80","Diontae Johnson","PIT","6","WR34","83","81","76","80.0"
"81","Evan Engram","JAC","9","TE8","73","82","91","82.0"
"82","Pat Freiermuth","PIT","6","TE9","70","88","92","83.3"
"83","Dak Prescott","DAL","7","QB9","78","90","85","84.3"
"84","Deshaun Watson","CLE","5","QB10","88","85","83","85.3"
"85","Marquise Brown","ARI","14","WR35","97","77","89","87.7"
"86","AJ Dillon","GB","6","RB32","99","87","87","91.0"
"87","Jahan Dotson","WAS","14","WR36","104","86","84","91.3"
"88","Khalil Herbert","CHI","13","RB33","98","99","79","92.0"
"89","San Francisco 49ers","DST","9","DST1","64","93","122","93.0"
"90","Jordan Addison","MIN","13","WR37","107","84","88","93.0"
"91","Tua Tagovailoa","MIA","10","QB11","90","94","95","93.0"
"92","Antonio Gibson","WAS","14","RB34","110","91","81","94.0"
"93","David Njoku","CLE","5","TE10","95","89","102","95.3"
