"Rank","Player","Team","Bye","POS","CBS","Sleeper","RTSports","AVG"
"1","Christian McCaffrey","SF","9","RB1","","1","2","1.5"
"2","Justin Jefferson","MIN","13","WR1","","2","1","1.5"
"3","Austin Ekeler","LAC","5","RB2","","3","4","3.5"
"4","Ja'Marr Chase","CIN","7","WR2","","6","3","4.5"
"5","Travis Kelce","KC","10","TE1","","4","6","5.0"
"6","Tyreek Hill","MIA","10","WR3","","8","5","6.5"
"7","Bijan Robinson","ATL","11","RB3","","5","9","7.0"
"8","Cooper Kupp","LAR","10","WR4","","10","7","8.5"
"9","Nick Chubb","CLE","5","RB4","","7","10","8.5"
"10","Saquon Barkley","NYG","13","RB5","","9","8","8.5"
"11","Stefon Diggs","BUF","13","WR5","","11","11","11.0"
"12","CeeDee Lamb","DAL","7","WR6","","15","12","13.5"
"13","A.J. Brown","PHI","10","WR7","","14","14","14.0"
"14","Patrick Mahomes II","KC","10","QB1","","13","18","15.5"
"15","Josh Jacobs","LV","13","RB6","","17","15","16.0"
"16","Derrick Henry","TEN","7","RB7","","12","21","16.5"
"17","Tony Pollard","DAL","7","RB8","","21","13","17.0"
"18","Davante Adams","LV","13","WR8","","16","20","18.0"
"19","Josh Allen","BUF","13","QB2","","19","17","18.0"
"20","Amon-Ra St. Brown","DET","9","WR9","","20","19","19.5"
"21","Garrett Wilson","NYJ","7","WR10","","24","16","20.0"
"22","Jalen Hurts","PHI","10","QB3","","22","22","22.0"
"23","Jonathan Taylor","IND","11","RB9","","18","27","22.5"
"24","Jaylen Waddle","MIA","10","WR11","","23","23","23.0"
"25","Najee Harris","PIT","6","RB10","","25","25","25.0"
"26","Chris Olave","NO","11","WR12","","27","24","25.5"
"27","Mark Andrews","BAL","13","TE2","","26","30","28.0"
"28","Travis Etienne Jr.","JAC","9","RB11","","28","28","28.0"
"29","Rhamondre Stevenson","NE","11","RB12","","29","29","29.0"
"30","DeVonta Smith","PHI","10","WR13","","34","26","30.0"
"31","Jahmyr Gibbs","DET","9","RB13","","33","32","32.5"
"32","Lamar Jackson","BAL","13","QB4","","31","35","33.0"
"33","Joe Mixon","CIN","7","RB14","","32","34","33.0"
"34","Tee Higgins","CIN","7","WR14","","30","37","33.5"
"35","Joe Burrow","CIN","7","QB5","","35","33","34.0"
"36","Calvin Ridley","JAC","9","WR15","","42","31","36.5"
"37","DK Metcalf","SEA","5","WR16","","36","38","37.0"
"38","Deebo Samuel","SF","9","WR17","","37","41","39.0"
"39","Kenneth Walker III","SEA","5","RB15","","40","39","39.5"
"40","Aaron Jones","GB","6","RB16","","39","42","40.5"
"41","Dameon Pierce","HOU","7","RB17","","46","36","41.0"
"42","Justin Herbert","LAC","5","QB6","","43","40","41.5"
"43","Keenan Allen","LAC","5","WR18","","41","44","42.5"
"44","Amari Cooper","CLE","5","WR19","","45","43","44.0"
"45","Justin Fields","CHI","13","QB7","","47","45","46.0"
"46","T.J. Hockenson","MIN","13","TE3","","49","46","47.5"
"47","Breece Hall","NYJ","7","RB18","","38","58","48.0"
"48","Miles Sanders","CAR","7","RB19","","50","47","48.5"
"49","J.K. Dobbins","BAL","13","RB20","","48","54","51.0"
"50","Alexander Mattison","MIN","13","RB21","","55","48","51.5"
"51","George Kittle","SF","9","TE4","","44","60","52.0"
"52","Terry McLaurin","WAS","14","WR20","","53","51","52.0"
"53","DJ Moore","CHI","13","WR21","","52","52","52.0"
"54","Trevor Lawrence","JAC","9","QB8","","57","49","53.0"
"55","Darren Waller","NYG","13","TE5","","56","53","54.5"
"56","DeAndre Hopkins","TEN","7","WR22","","51","59","55.0"
"57","Cam Akers","LAR","10","RB22","","54","62","58.0"
"58","Javonte Williams","DEN","9","RB23","","68","50","59.0"
"59","Christian Watson","GB","6","WR23","","62","56","59.0"
"60","Alvin Kamara","NO","11","RB24","","58","65","61.5"
"61","James Conner","ARI","14","RB25","","60","67","63.5"
